Data Table for Cumulative Deaths - The United States
Date generated: Tue Apr 15 2025 06:26:04 GMT+0000 (Coordinated Universal Time)
Geography,Date,Cumulative Deaths,Death Data As Of
United States,Apr  5 2025,1226126,Apr 10 2025
United States,Mar 29 2025,1225944,Apr 10 2025
United States,Mar 22 2025,1225609,Apr 10 2025
United States,Mar 15 2025,1225209,Apr 10 2025
United States,Mar  8 2025,1224743,Apr 10 2025
United States,Mar  1 2025,1224151,Apr 10 2025
United States,Feb 22 2025,1223490,Apr 10 2025
United States,Feb 15 2025,1222778,Apr 10 2025
United States,Feb  8 2025,1222042,Apr 10 2025
United States,Feb  1 2025,1221230,Apr 10 2025
United States,Jan 25 2025,1220316,Apr 10 2025
United States,Jan 18 2025,1219370,Apr 10 2025
United States,Jan 11 2025,1218383,Apr 10 2025
United States,Jan  4 2025,1217346,Apr 10 2025
United States,Dec 28 2024,1216454,Apr 10 2025
United States,Dec 21 2024,1215788,Apr 10 2025
United States,Dec 14 2024,1215198,Apr 10 2025
United States,Dec  7 2024,1214637,Apr 10 2025
United States,Nov 30 2024,1214143,Apr 10 2025
United States,Nov 23 2024,1213650,Apr 10 2025
United States,Nov 16 2024,1213179,Apr 10 2025
United States,Nov  9 2024,1212652,Apr 10 2025
United States,Nov  2 2024,1212096,Apr 10 2025
United States,Oct 26 2024,1211494,Apr 10 2025
United States,Oct 19 2024,1210850,Apr 10 2025
United States,Oct 12 2024,1210116,Apr 10 2025
United States,Oct  5 2024,1209312,Apr 10 2025
United States,Sep 28 2024,1208340,Apr 10 2025
United States,Sep 21 2024,1207311,Apr 10 2025
United States,Sep 14 2024,1206209,Apr 10 2025
United States,Sep  7 2024,1204968,Apr 10 2025
United States,Aug 31 2024,1203744,Apr 10 2025
United States,Aug 24 2024,1202389,Apr 10 2025
United States,Aug 17 2024,1201138,Apr 10 2025
United States,Aug 10 2024,1200056,Apr 10 2025
United States,Aug  3 2024,1198990,Apr 10 2025
United States,Jul 27 2024,1198009,Apr 10 2025
United States,Jul 20 2024,1197149,Apr 10 2025
United States,Jul 13 2024,1196416,Apr 10 2025
United States,Jul  6 2024,1195824,Apr 10 2025
United States,Jun 29 2024,1195292,Apr 10 2025
United States,Jun 22 2024,1194849,Apr 10 2025
United States,Jun 15 2024,1194417,Apr 10 2025
United States,Jun  8 2024,1194051,Apr 10 2025
United States,Jun  1 2024,1193737,Apr 10 2025
United States,May 25 2024,1193411,Apr 10 2025
United States,May 18 2024,1193067,Apr 10 2025
United States,May 11 2024,1192727,Apr 10 2025
United States,May  4 2024,1192393,Apr 10 2025
United States,Apr 27 2024,1191967,Apr 10 2025
United States,Apr 20 2024,1191538,Apr 10 2025
United States,Apr 13 2024,1191039,Apr 10 2025
United States,Apr  6 2024,1190466,Apr 10 2025
United States,Mar 30 2024,1189835,Apr 10 2025
United States,Mar 23 2024,1189098,Apr 10 2025
United States,Mar 16 2024,1188247,Apr 10 2025
United States,Mar  9 2024,1187206,Apr 10 2025
United States,Mar  2 2024,1186104,Apr 10 2025
United States,Feb 24 2024,1184834,Apr 10 2025
United States,Feb 17 2024,1183508,Apr 10 2025
United States,Feb 10 2024,1182118,Apr 10 2025
United States,Feb  3 2024,1180497,Apr 10 2025
United States,Jan 27 2024,1178753,Apr 10 2025
United States,Jan 20 2024,1176619,Apr 10 2025
United States,Jan 13 2024,1174252,Apr 10 2025
United States,Jan  6 2024,1171668,Apr 10 2025
United States,Dec 30 2023,1169174,Apr 10 2025
United States,Dec 23 2023,1166943,Apr 10 2025
United States,Dec 16 2023,1165007,Apr 10 2025
United States,Dec  9 2023,1163162,Apr 10 2025
United States,Dec  2 2023,1161369,Apr 10 2025
United States,Nov 25 2023,1159637,Apr 10 2025
United States,Nov 18 2023,1158213,Apr 10 2025
United States,Nov 11 2023,1156782,Apr 10 2025
United States,Nov  4 2023,1155388,Apr 10 2025
United States,Oct 28 2023,1154142,Apr 10 2025
United States,Oct 21 2023,1152850,Apr 10 2025
United States,Oct 14 2023,1151456,Apr 10 2025
United States,Oct  7 2023,1150141,Apr 10 2025
United States,Sep 30 2023,1148743,Apr 10 2025
United States,Sep 23 2023,1147287,Apr 10 2025
United States,Sep 16 2023,1145869,Apr 10 2025
United States,Sep  9 2023,1144459,Apr 10 2025
United States,Sep  2 2023,1143146,Apr 10 2025
United States,Aug 26 2023,1141959,Apr 10 2025
United States,Aug 19 2023,1140892,Apr 10 2025
United States,Aug 12 2023,1139971,Apr 10 2025
United States,Aug  5 2023,1139219,Apr 10 2025
United States,Jul 29 2023,1138546,Apr 10 2025
United States,Jul 22 2023,1137993,Apr 10 2025
United States,Jul 15 2023,1137453,Apr 10 2025
United States,Jul  8 2023,1136943,Apr 10 2025
United States,Jul  1 2023,1136451,Apr 10 2025
United States,Jun 24 2023,1135909,Apr 10 2025
United States,Jun 17 2023,1135326,Apr 10 2025
United States,Jun 10 2023,1134714,Apr 10 2025
United States,Jun  3 2023,1134081,Apr 10 2025
United States,May 27 2023,1133388,Apr 10 2025
United States,May 20 2023,1132646,Apr 10 2025
United States,May 13 2023,1131887,Apr 10 2025
United States,May  6 2023,1131049,Apr 10 2025
United States,Apr 29 2023,1130103,Apr 10 2025
United States,Apr 22 2023,1129075,Apr 10 2025
United States,Apr 15 2023,1127878,Apr 10 2025
United States,Apr  8 2023,1126661,Apr 10 2025
United States,Apr  1 2023,1125288,Apr 10 2025
United States,Mar 25 2023,1123839,Apr 10 2025
United States,Mar 18 2023,1122171,Apr 10 2025
United States,Mar 11 2023,1120410,Apr 10 2025
United States,Mar  4 2023,1118561,Apr 10 2025
United States,Feb 25 2023,1116561,Apr 10 2025
